Title,Abstract,Authors,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Diamond-defectengineeringof NV- centers using ion beam irradiation,"The interplay between ion beam modification techniques in the MeV range and the controlled generation of negatively charged nitrogen-vacancy (NV-) centers in nitrogen-doped synthetic diamond crystals is explored. An experimental approach employing both light (H+) and heavy (Br+6) ions was followed to assess their respective impacts on the creation of NV- centers, using different ion energies or fl…▽ More",J.; J. G.; R. B.; D. G.; A. A.; G. G.; J.; M.; N. G.,,,2024-12-04,,
Mapping using Transformers for Volumes -- Network for Super-Resolution with Long-Range Interactions,"Until now, it has been difficult for volumetric super-resolution to utilize the recent advances in transformer-based models seen in 2D super-resolution. The memory required for self-attention in 3D volumes limits the receptive field. Therefore, long-range interactions are not used in 3D to the extent done in 2D and the strength of transformers is not realized. We propose a multi-scale transformer-…▽ More",August; Sophia; Hans; Tim; Vedrana; Anders D.,,,2024-12-04,,
Exploring trends in audio mixes and masters: Insights from a dataset analysis,"We present an analysis of a dataset of audio metrics and aesthetic considerations about mixes and masters provided by the web platform MixCheck studio. The platform is designed for educational purposes, primarily targeting amateur music producers, and aimed at analysing their recordings prior to them being released. The analysis focuses on the following data points: integrated loudness, mono compa…▽ More",Angeliki M.; Elio Q.; Spyridon B.; Joshua; David R.,,,2024-12-04,,
SGSST: Scaling Gaussian Splatting StyleTransfer,"Applying style transfer to a full 3D environment is a challenging task that has seen many developments since the advent of neural rendering. 3D Gaussian splatting (3DGS) has recently pushed further many limits of neural rendering in terms of training speed and reconstruction quality. This work introduces SGSST: Scaling Gaussian Splatting Style Transfer, an optimization-based method to apply style…▽ More",Bruno G.; Jianling W.; Lara R.; Jean-Michel M.,,,2024-12-04,,
User-Movement-Robust Virtual Reality Through Dual-Beam Reception in mmWave Networks,"Utilizing the mmWave band can potentially achieve the high data rate needed for realistic and seamless interaction within a virtual reality (VR) application. To this end, beamforming in both the access point (AP) and head-mounted display (HMD) sides is necessary. The main challenge in this use case is the specific and highly dynamic user movement, which causes beam misalignment, degrading the rece…▽ More",Rizqi H.; Qing W.; Yang M.; Sofie P.,,,2024-12-04,,
Testing CPS with Design Assumptions-Based Metamorphic Relations and Genetic Programming,"…Systems (CPSs) software is used to enforce desired behaviours on physical systems. To test the interaction between the CPS software and the system's physics,engineersprovide traces of desired physical states and observe traces of the actual physical states. CPS requirements describe how closely the actual physical traces should track the desired traces…▽ More",Claudio M.; Seung; Domenico B.; Lionel B.,,,2024-12-04,,
Sliding or Rolling? Characterizing single-particle contacts,"…coefficients for numerical studies and an interpretation of the onset of discontinuous shear thickening based on them, opening up new ways to tailor rheology via contactengineering.▽ More",Simon S.; Shivaprakash; Vincent N.; Chiao-Peng H.; Robert; Nicholas; Lucio I.,,,2024-12-04,,
Propulsion force and heat transfer for nonreciprocal nanoparticles,"…terms, a consequence of passivity of the objects. For the force, this bound limits the efficiency in a heatenginesetup, as observed for parallel plates before.▽ More",Laila H.; Kiryl A.; Matthias K.,,,2024-12-04,,
Domain-Agnostic Stroke Lesion Segmentation Using Physics-Constrained Synthetic Data,"Segmenting stroke lesions in Magnetic Resonance Imaging (MRI) is challenging due to diverse clinical imaging domains, with existing models struggling to generalise across different MRI acquisition parameters and sequences. In this work, we propose two novel physics-constrained approaches using synthetic quantitative MRI (qMRI) images to enhance the robustness and generalisability of segmentation m…▽ More",Liam C.; Jenny C.; Cathy; John A.,,,2024-12-04,,
Digital twin inference from multi-physical simulation data of DED additive manufacturing processes with neural ODEs,"A digital twin is a virtual representation that accurately replicates its physical counterpart, fostering bi-directional real-time data exchange throughout the entire process lifecycle. For Laser Directed Energy Deposition of Wire (DED-LB/w) additive manufacturing processes, digital twins may help to control the residual stress design in build parts. This study focuses on providing faster-than-rea…▽ More",Maximilian K.; Fabian R.; Oliver W.,,,2024-12-04,,
Channel Estimation for Hybrid MIMO Systems With Array Model Errors and Beam Squint Effects,"This paper proposes a channel estimation method for hybrid wideband multiple-input-multiple-output (MIMO) systems in high-frequency bands, including millimeter-wave (mmWave) and sub-terahertz (sub-THz), in the presence of beam squint effects and array errors arising from hardware impairments and environmental time fluctuations such as thermal effects and dynamic motion of the array. Although conve…▽ More",Kabuto A.; Koji I.,,,2024-12-04,,
Rotograb: Combining Biomimetic Hands with Industrial Grippers using a Rotating Thumb,"The development of robotic grippers and hands for automation aims to emulate human dexterity without sacrificing the efficiency of industrial grippers. This study introduces Rotograb, a tendon-actuated robotic hand featuring a novel rotating thumb. The aim is to combine the dexterity of human hands with the efficiency of industrial grippers. The rotating thumb enlarges the workspace and allows in-…▽ More",Arnaud B.; Matteo L.; Alessio V.; Sarah; Andrea N.; Yifan Z.; Sebastiano O.; Alexander; Robert,,,2024-12-04,,
Generating Synthetic Genotypes using Diffusion Models,"In this paper, we introduce the first diffusion model designed to generate complete synthetic human genotypes, which, by standard protocols, one can straightforwardly expand into full-length, DNA-level genomes. The synthetic genotypes mimic real human genotypes without just reproducing known genotypes, in terms of approved metrics. When training biomedically relevant classifiers with synthetic gen…▽ More",Philip K.; Raghuram D.; Xiao L.; Barbara H.; Alexander S.,,,2024-12-04,,
How Should One Fit Channel Measurements to Fading Distributions for Performance Analysis?,"Accurate channel modeling plays a pivotal role in optimizing communication systems, especially as new frequency bands come into play in next-generation networks. In this regard, fitting field measurements to stochastic models is crucial for capturing the key propagation features and to map these to achievable system performances. In this work, we shed light onto what's the most appropriate alterna…▽ More",Santiago F.; José; Juan; F.,,,2024-12-04,,
Detecting abnormal heart sound using mobile phones and on-device IConNet,"Given the global prevalence of cardiovascular diseases, there is a pressing need for easily accessible early screening methods. Typically, this requires medical practitioners to investigate heart auscultations for irregular sounds, followed by echocardiography and electrocardiography tests. To democratize early diagnosis, we present a user-friendly solution for abnormal heart sound detection, util…▽ More",Linh V.; Thu T.,,,2024-12-04,,
Is JPEG AI going to change image forensics?,"In this paper, we investigate the counter-forensic effects of the forthcoming JPEG AI standard based on neural image compression, focusing on two critical areas: deepfake image detection and image splicing localization. Neural image compression leverages advanced neural network algorithms to achieve higher compression rates while maintaining image quality. However, it introduces artifacts that clo…▽ More",Edoardo; Sara M.; Natasa P.; Ayman A.; Alessandro G.; Paolo B.; Stefano T.,,,2024-12-04,,
Electrode and electroactive polymer layout design using topology optimization,"When electrically stimulated, electroactive polymers (EAPs) respond with mechanical deformation. The goal of this work is to design electrode and EAP layouts simultaneously in structures by using density-based, multi-material topology optimization. In this novel approach the layout of electrodes and EAP material are not given a priori but is a result from the topology optimization. Material interp…▽ More",Daniel H.; Mathias W.; Matti R.,,,2024-12-04,,
Controlling the Mutation in Large Language Models for the Efficient Evolution of Algorithms,"…5-turbo and GPT-4o models demonstrate that GPT-3.5-turbo fails to adhere to the specific mutation instructions, while GPT-4o is able to adapt its mutation based on the promptengineereddynamic prompts. Further experiments show that the introduction of these dynamic rates can improve the convergence speed and adaptability of LLaMEA, when using GPT-4o. This w…▽ More",Haoran Y.; Anna; Thomas B.; Niki,,,2024-12-04,,
A Proportional-Integral Model for Fractional Voltage Tripping of Distributed Energy Resources,"In regions with high shares of distributed energy resources (DERs), massive disconnection of small-scale DERs in low-voltage distribution grids during disturbances poses a serious threat to power system security. However, modeling this effect in a computationally efficient way remains challenging. This paper proposes a novel proportional-integral aggregate model for predicting the fraction of trip…▽ More",Milos K.; Gregor V.; John L.; Gabriela H.,,,2024-12-04,,
Achieving Beamfocusing via Two Separated Uniform Linear Arrays,"This paper investigates coordinated beamforming using a modular linear array (MLA), composed of a pair of physically separated uniform linear arrays (ULAs), treated as sub-arrays. We focus on how such setups can give rise to near-field effects in 6G networks without requiring many antennas. Unlike conventional far-field beamforming, near-field beamforming enables simultaneous data service to multi…▽ More",Alva K.; Özlem; Emil B.,,,2024-12-04,,
Channel Reflection: Knowledge-Driven Data Augmentation for EEG-Based Brain-Computer Interfaces,"A brain-computer interface (BCI) enables direct communication between the human brain and external devices. Electroencephalography (EEG) based BCIs are currently the most popular for able-bodied users. To increase user-friendliness, usually a small amount of user-specific EEG data are used for calibration, which may not be enough to develop a pure data-driven decoding model. To cope with this typi…▽ More",Ziwei W.; Siyang L.; Jingwei L.; Jiajing L.; Dongrui W.,,,2024-12-04,,
TrustOps: Continuously Building Trustworthy Software,"Software services play a crucial role in daily life, with automated actions determining access to resources and information. Trusting service providers to perform these actions fairly and accurately is essential, yet challenging for users to verify. Even with publicly available codebases, the rapid pace of development and the complexity of modern deployments hinder the understanding and evaluation…▽ More",Eduardo B.; Fernando C.; Pille P.; Sebastian W.,,,2024-12-04,,
Koopman Based Trajectory Optimization with Mixed Boundaries,"Trajectory optimization is a widely used tool in the design and control of dynamical systems. Typically, not only nonlinear dynamics, but also couplings of the initial and final condition through implicit boundary constraints render the optimization problem non-convex. This paper investigates how the Koopman operator framework can be utilized to solve trajectory optimization problems in a (partial…▽ More",Mohamed A.; Maximilian R.; Kathrin F.; C.,,,2024-12-04,,
Beyond Questions: Leveraging ColBERT for Keyphrase Search,"While question-like queries are gaining popularity and searchengines' users increasingly adopt them, keyphrase search has traditionally been the cornerstone of web search. This query type is also prevalent in specialised search tasks such as academic or professional search, where experts rely on keyphrases to articulate their information needs. However,…▽ More",Jorge G.; Javier P.; Craig M.,,,2024-12-04,,
Soft Adaptive Feet for Legged Robots: An Open-Source Model for Locomotion Simulation,…feet based on soft robotics and under-actuation principles emerged to improve mobility on challenging terrains. This paper presents the application of the MuJoCo physicsengineto realize a digital twin of an adaptive soft foot developed for use with legged robots. We release the MuJoCo soft foot digital twin as open source to allow users and researchers to…▽ More,Matteo C.; Luca R.; Anna P.; Giorgio G.; Antonio B.; Manuel,,,2024-12-04,,
Numin: Weighted-Majority Ensembles for Intraday Trading,"We consider the application of machine learning models for short-term intra-day trading in equities. We envisage a scenario wherein machine learning models are submitted by independent data scientists to predict discretised ten-candle returns every five minutes, in response to five-minute candlestick data provided to them in near real-time. An ensemble model combines these multiple models via a we…▽ More",Aniruddha M.; Rekha S.; Gautam S.,,,2024-12-04,,
Using Deep Reinforcement Learning to Enhance Channel Sampling Patterns in Integrated Sensing and Communication,"In Integrated Sensing And Communication (ISAC) systems, estimating the micro-Doppler (mD) spectrogram of a target requires combining channel estimates retrieved from communication with ad-hoc sensing packets, which cope with the sparsity of the communication traffic. Hence, the mD quality depends on the transmission strategy of the sensing packets, which is still a challenging problem with no know…▽ More",Federico M.; Jacopo P.,,,2024-12-04,,
Testing Neural Network Verifiers: A Soundness Benchmark with Hidden Counterexamples,"In recent years, many neural network (NN) verifiers have been developed to formally verify certain properties of neural networks such as robustness. Although many benchmarks have been constructed to evaluate the performance of NN verifiers, they typically lack a ground-truth for hard instances where no current verifier can verify and no counterexample can be found, which makes it difficult to chec…▽ More",Xingjian Z.; Hongji X.; Andy X.; Zhouxing S.; Cho-Jui H.; Huan Z.,,,2024-12-04,,
Splats in Splats: Embedding Invisible 3D Watermark within Gaussian Splatting,"3D Gaussian splatting (3DGS) has demonstrated impressive 3D reconstruction performance with explicit scene representations. Given the widespread application of 3DGS in 3D reconstruction and generation tasks, there is an urgent need to protect the copyright of 3DGS assets. However, existing copyright protection techniques for 3DGS overlook the usability of 3D assets, posing challenges for practical…▽ More",Yijia G.; Wenkai H.; Yang L.; Gaolei L.; Hang Z.; Liwen H.; Jianhua L.; Tiejun H.; Lei M.,,,2024-12-04,,
Mixed-Precision Quantization: Make the Best Use of Bits Where They Matter Most,"Mixed-precision quantization offers superior performance to fixed-precision quantization. It has been widely used in signal processing, communication systems, and machine learning. In mixed-precision quantization, bit allocation is essential. Hence, in this paper, we propose a new bit allocation framework for mixed-precision quantization from a search perspective. First, we formulate a general bit…▽ More",Yiming F.; Li C.; Yunfei C.; Weidong W.; Changsheng Y.,,,2024-12-04,,
Decentralized Mobile Target Tracking Using Consensus-Based Estimation with Nearly-Constant-Velocity Modeling,Mobile target tracking is crucial in various applications such as surveillance and autonomous navigation. This study presents a decentralized tracking framework utilizing a Consensus-Based Estimation Filter (CBEF) integrated with the Nearly-Constant-Velocity (NCV) model to predict a moving target's state. The framework facilitates agents in a network to collaboratively estimate the target's positi…▽ More,Amir; Mohammadreza D.,,,2024-12-04,,
Revolve: Optimizing AI Systems by Tracking Response Evolution in Textual Optimization,"…processing and tool interaction. However, optimizing these LLM-based systems for specific tasks remains challenging, often requiring manual interventions like promptengineeringand hyperparameter tuning. Existing automatic optimization methods, such as textual feedback-based techniques (e.g., TextGrad), tend to focus on immediate feedback, analogous to usin…▽ More",Peiyan Z.; Haibo J.; Leyang H.; Xinnuo L.; Liying K.; Man L.; Yangqiu S.; Haohan W.,,,2024-12-04,,
Hybrid deep learning-based strategy for the hepatocellular carcinoma cancer grade classification of H&E stained liver histopathology images,"Hepatocellular carcinoma (HCC) is a common type of liver cancer whose early-stage diagnosis is a common challenge, mainly due to the manual assessment of hematoxylin and eosin-stained whole slide images, which is a time-consuming process and may lead to variability in decision-making. For accurate detection of HCC, we propose a hybrid deep learning-based architecture that uses transfer learning to…▽ More",Ajinkya D.; Deep G.; Ankit B.; Nisha M.; Sneha S.; Petia R.,,,2024-12-04,,
Spin polarization driven by molecular vibrations leads to enantioselectivity in chiral molecules,"…We propose that molecular vibrations in chiral molecules primarily drive spin polarization, thereby governing CISS. Employing an electrochemical cell paired with a preciselyengineeredmagnetic multilayer, we demonstrate that the magnetic interactions akin to interlayer exchange coupling are crucial for CISS. Our theoretical study suggests that molecular vi…▽ More",Shinji M.; Tatsuya Y.; Takashi N.; Shoya S.; Kenta K.; Masanobu S.; Weiguang G.; Hiroshi; Keiichi I.; Taishi T.; Takayuki N.; Tatsuhiko O.,,,2024-12-04,,
A new Time-decay Radiomics Integrated Network (TRINet) for short-term breast cancer risk prediction,"To facilitate early detection of breast cancer, there is a need to develop short-term risk prediction schemes that can prescribe personalized/individualized screening mammography regimens for women. In this study, we propose a new deep learning architecture called TRINet that implements time-decay attention to focus on recent mammographic screenings, as current models do not account for the releva…▽ More",Hong; Fredrik S.; Raphaël P.; Kartini R.; Maxine T.,,,2024-12-04,,
ASR-EC Benchmark: Evaluating Large Language Models on Chinese ASR Error Correction,"Automatic speech Recognition (ASR) is a fundamental and important task in the field of speech and natural language processing. It is an inherent building block in many applications such as voice assistant, speech translation, etc. Despite the advancement of ASR technologies in recent years, it is still inevitable for modern ASR systems to have a substantial number of erroneous recognition due to e…▽ More",Victor; Weicheng W.; Di J.; Yuanfeng S.; Lu W.,,,2024-12-04,,
Analytic Study of Text-Free Speech Synthesis for Raw Audio using a Self-Supervised Learning Model,"We examine the text-free speech representations of raw audio obtained from a self-supervised learning (SSL) model by analyzing the synthesized speech using the SSL representations instead of conventional text representations. Since raw audio does not have paired speech representations as transcribed texts do, obtaining speech representations from unpaired speech is crucial for augmenting available…▽ More",Joonyong P.; Daisuke S.; Nobuaki M.,,,2024-12-04,,
Deep Learning based Computer-vision for Enhanced Beamforming,"Meeting the high data rate demands of modern applications necessitates the utilization of high-frequency spectrum bands, including millimeter-wave and sub-terahertz bands. However, these frequencies require precise alignment of narrow communication beams between transmitters and receivers, typically resulting in significant beam training overhead. This paper introduces a novel end-to-end vision-ai…▽ More",Sachira K.; Erfan K.; Thomas D.; Rajitha S.,,,2024-12-04,,
UTSD: Unified Time Series Diffusion Model,"…have achieved unprecedented success in time series analysis. However, facing the challenge of across-domain modeling, existing studies utilize statistical prior as promptengineeringfails under the huge distribution shift among various domains. In this paper, a Unified Time Series Diffusion (UTSD) model is established for the first time to model the multi-d…▽ More",Xiangkai M.; Xiaobin H.; Wenzhong L.; Sanglu L.,,,2024-12-04,,
Real-Time AIoT for UAV Antenna Interference Detection via Edge-Cloud Collaboration,"In the fifth-generation (5G) era, eliminating communication interference sources is crucial for maintaining network performance. Interference often originates from unauthorized or malfunctioning antennas, and radio monitoring agencies must address numerous sources of such antennas annually. Unmanned aerial vehicles (UAVs) can improve inspection efficiency. However, the data transmission delay in t…▽ More",Jun D.; Jintao C.; Jin W.; Chengxi Z.; Shunyi Z.; Xiaoyu T.,,,2024-12-04,,
Point-GR: Graph Residual Point Cloud Network for 3D Object Classification and Segmentation,"In recent years, the challenge of 3D shape analysis within point cloud data has gathered significant attention in computer vision. Addressing the complexities of effective 3D information representation and meaningful feature extraction for classification tasks remains crucial. This paper presents Point-GR, a novel deep learning architecture designed explicitly to transform unordered raw point clou…▽ More",Md M.; Md; Mohammed J.; Pavan C.,,,2024-12-04,,
Topology Reconstruction of a Class of Electrical Networks with Limited Boundary Measurements,"We consider the problem of recovering the topology and the edge conductance value, as well as characterizing a set of electrical networks that satisfy the limitedly available Thevenin impedance measurements. The measurements are obtained from an unknown electrical network, which is assumed to belong to a class of circular planar passive electrical network. This class of electrical networks consist…▽ More",Shivanagouda B.; Deepak,,,2024-12-04,,
MRNet: Multifaceted Resilient Networks for Medical Image-to-Image Translation,"We propose a Multifaceted Resilient Network(MRNet), a novel architecture developed for medical image-to-image translation that outperforms state-of-the-art methods in MRI-to-CT and MRI-to-MRI conversion. MRNet leverages the Segment Anything Model (SAM) to exploit frequency-based features to build a powerful method for advanced medical image transformation. The architecture extracts comprehensive m…▽ More",Hyojeong L.; Youngwan J.; Inpyo H.; Sanghyun P.,,,2024-12-04,,
Fan-Beam CT Reconstruction for Unaligned Sparse-View X-ray Baggage Dataset,"Computed Tomography (CT) is a technology that reconstructs cross-sectional images using X-ray images taken from multiple directions. In CT, hundreds of X-ray images acquired as the X-ray source and detector rotate around a central axis, are used for precise reconstruction. In security baggage inspection, X-ray imaging is also widely used; however, unlike the rotating systems in medical CT, station…▽ More",Shin K.,,,2024-12-04,,
Specification Generation for Neural Networks in Systems,"Specifications - precise mathematical representations of correct domain-specific behaviors - are crucial to guarantee the trustworthiness of computer systems. With the increasing development of neural networks as computer system components, specifications gain more importance as they can be used to regulate the behaviors of these black-box models. Traditionally, specifications are designed by doma…▽ More",Isha C.; Shuyi L.; Cheng T.; Gagandeep S.,,,2024-12-03,,
Ultrafast giant enhancement of second harmonic generation through level occupationengineering,"…all-optical modulation mechanisms of optical nonlinearity have been proposed. Among them the electrical methods are bottlenecked by speed, while optical methods like Floquetengineeringprovides a fast heat-free route, but has only been experimentally shown to suppress SHG. Here we theoretically and experimentally demonstrated an ultrafast enhancement of SHG…▽ More",Junyi S.,,,2024-12-03,,
Robust Model Predictive Control for Constrained Uncertain Systems Based on Concentric Container and Varying Tube,"This paper proposes a novel robust model predictive control (RMPC) method for the stabilization of constrained systems subject to additive disturbance (AD) and multiplicative disturbance (MD). Concentric containers are introduced to facilitate the characterization of MD, and varying tubes are constructed to bound reachable states. By restricting states and the corresponding inputs in containers wi…▽ More",Shibo H.; Yuhao Z.; Xiaotong S.; Xingwei Z.,,,2024-12-03,,
Model Predictive Control of Nonlinear Dynamics Using Online Adaptive Koopman Operators,"This paper develops a methodology for adaptive data-driven Model Predictive Control (MPC) using Koopman operators. While MPC is ubiquitous in various fields ofengineering, the controller performance can deteriorate if the modeling error between the control model and the true dynamics persists, which may often be the case with complex nonlinear dynamics. Ada…▽ More",Daisuke U.; Karthik D.,,,2024-12-03,,
3D Interaction Geometric Pre-training for Molecular Relational Learning,"…Learning (MRL) is a rapidly growing field that focuses on understanding the interaction dynamics between molecules, which is crucial for applications ranging from catalystengineeringto drug discovery. Despite recent progress, earlier MRL approaches are limited to using only the 2D topological structure of molecules, as obtaining the 3D interaction geometry…▽ More",Namkyeong L.; Yunhak O.; Heewoong N.; Gyoung; Minkai X.; Hanchen W.; Tianfan F.; Chanyoung P.,,,2024-12-03,,
The effects of four-wheel steering on the path-tracking control of automated vehicles,"In this study, we analyze the stability of a path-tracking controller designed for a four-wheel steering vehicle, incorporating the effects of the reference path curvature. By employing a simplified kinematic model of the vehicle with steerable front and rear wheels, we derive analytical expressions for the stability regions and optimal control gains specific to different four-wheel steering strat…▽ More",Sungjin L.; Illés V.; Yongseob L.; Gábor O.,,,2024-12-03,,
"Modularized Neural Network Incorporating Physical Priors for Smart Building Control, Accuracy or Consistency?","Model predictive control can achieve significant energy savings, offer grid flexibility, and mitigate carbon emissions. However, the challenge of identifying individual control-oriented building dynamic models limits large-scale real-world applications. To address this issue, this study proposed a Modularized Neural Network Incorporating Physical Priors (ModNN), capable of establishing a control-o…▽ More",Zixin J.; Bing D.,,,2024-12-03,,
PopSweeper: Automatically Detecting and Resolving App-Blocking Pop-Ups to Assist Automated Mobile GUI Testing,"Graphical User Interfaces (GUIs) are the primary means by which users interact with mobile applications, making them crucial to both app functionality and user experience. However, a major challenge in automated testing is the frequent appearance of app-blocking pop-ups, such as ads or system alerts, which obscure critical UI elements and disrupt test execution, often requiring manual intervention…▽ More",Linqiang G.; Wei L.; Yi; Tse-Hsun; Chen; Yang W.,,,2024-12-03,,
Inverse Delayed Reinforcement Learning,"Inverse Reinforcement Learning (IRL) has demonstrated effectiveness in a variety of imitation tasks. In this paper, we introduce an IRL framework designed to extract rewarding features from expert trajectories affected by delayed disturbances. Instead of relying on direct observations, our approach employs an efficient off-policy adversarial training framework to derive expert features and recover…▽ More",Simon; Qingyuan W.; Zhian R.; Frank Y.; Philip W.; Yixuan W.; Ruochen J.; Chao H.; Qi Z.,,,2024-12-03,,
Video LLMs for Temporal Reasoning in Long Videos,"…long video dataset of industry assembly processes, namely IndustryASM, which consists of videos recorded on factory floors with actions and timestamps annotated by industrialengineersfor time and motion studies and temporal action segmentation evaluation. Finally, extensive experiments on datasets of long videos, including TimeIT and IndustryASM, show that…▽ More",Fawad; Umer A.; Hamza K.; M.; Quoc-Huy T.,,,2024-12-03,,
Fast and Tunable Decoherence-Free SubspaceEngineering,"We propose schemes to design and control a time-dependent decoherence-free subspace (DFS) in a dissipative atom-cavity system. These schemes use atoms with three internal energy levels, which allows for the DFS to be multi-dimensional--a condition important for quantum sensing, simulation, and computation. We consider the use of tunable external driving lasers to transfer the system from a coheren…▽ More",Lyryl; Jarrod; John; Simon; Murray H.,,,2024-12-03,,
Assessing the performance of CT image denoisers using Laguerre-Gauss Channelized Hotelling Observer for lesion detection,"The remarkable success of deep learning methods in solving computer vision problems, such as image classification, object detection, scene understanding, image segmentation, etc., has paved the way for their application in biomedical imaging. One such application is in the field of CT image denoising, whereby deep learning methods are proposed to recover denoised images from noisy images acquired…▽ More",Prabhat K.; Rongping Z.,,,2024-12-03,,
Predicting post-release defects with knowledge units (KUs) of programming languages: an empirical study,…develop a cost-effective model that significantly outperforms the CC. These encouraging results can be helpful to researchers who wish to further study the aspect of featureengineeringand building models for defect prediction.▽ More,Md A.; Gustavo; Ahmed; Zhen M.; Jiang,,,2024-12-03,,
Does Few-Shot Learning Help LLM Performance in Code Synthesis?,"Large language models (LLMs) have made significant strides at code generation through improved model design, training, and chain-of-thought. However, prompt-level optimizations remain an important yet under-explored aspect of LLMs for coding. This work focuses on the few-shot examples present in most code generation prompts, offering a systematic study on whether few-shot examples improve LLM's co…▽ More",Derek X.; Tong X.; Botao X.; Haoyu L.; Yunsheng B.; Yizhou S.; Wei W.,,,2024-12-03,,
Constrained LTL Specification Learning from Examples,"Temporal logic specifications play an important role in a wide range of software analysis tasks, such as model checking, automated synthesis, program comprehension, and runtime monitoring. Given a set of positive and negative examples, specified as traces, LTL learning is the problem of synthesizing a specification, in linear temporal logic (LTL), that evaluates to true over the positive traces an…▽ More",Changjian Z.; Parv K.; Ian D.; Leyi C.; Romulo M.; David G.; Eunsuk K.,,,2024-12-03,,
MACAW: A Causal Generative Model for Medical Imaging,"Although deep learning techniques show promising results for many neuroimaging tasks in research settings, they have not yet found widespread use in clinical scenarios. One of the reasons for this problem is that many machine learning models only identify correlations between the input images and the outputs of interest, which can lead to many practical problems, such as encoding of uninformative…▽ More",Vibujithan V.; Erik O.; Matthias W.; Nils F.,,,2024-12-03,,
EvRT-DETR: The Surprising Effectiveness of DETR-based Detection for Event Cameras,…that effective EBC object detection can be achieved through careful adaptation of mainstream object detection architectures without requiring specialized architecturalengineering. The code is available at: https://github.com/realtime-intelligence/evrt-detr▽ More,Dmitrii T.; Yihui R.; Animesh G.; Odera D.; Yonggang C.,,,2024-12-03,,
TDD-Bench Verified: Can LLMs Generate Tests for Issues Before They Get Resolved?,"Test-driven development (TDD) is the practice of writing tests first and coding later, and the proponents of TDD expound its numerous benefits. For instance, given an issue on a source code repository, tests can clarify the desired behavior among stake-holders before anyone writes code for the agreed-upon fix. Although there has been a lot of work on automated test generation for the practice ""wri…▽ More",Toufique A.; Martin H.; Rangeet P.; Avraham S.; Saurabh S.,,,2024-12-03,,
Novel Magnetic Actuation Strategies for Precise Ferrofluid Marble Manipulation in Magnetic Digital Microfluidics: Position Control and Applications,"Precise manipulation of liquid marbles has significant potential in various applications such as lab-on-a-chip systems, drug delivery, and biotechnology and has been a challenge for researchers. Ferrofluid marble (FM) is a marble with a ferrofluid core that can easily be manipulated by a magnetic field. Although FMs have great potential for accurate positioning and manipulation, these marbles have…▽ More",Mohammad; Mohammad; Mohamad; Hossein,,,2024-12-03,,
Unpaired Modality Translation for Pseudo Labeling of Histology Images,"The segmentation of histological images is critical for various biomedical applications, yet the lack of annotated data presents a significant challenge. We propose a microscopy pseudo labeling pipeline utilizing unsupervised image translation to address this issue. Our method generates pseudo labels by translating between labeled and unlabeled domains without requiring prior annotation in the tar…▽ More",Arthur B.; Armand C.; Nishka K.; Julien C.,,,2024-12-03,,
Block MedCare: Advancing healthcare through blockchain integration with AI and IoT,"This research explores the integration of blockchain technology in healthcare, focusing on enhancing the security and efficiency of Electronic Health Record (EHR) management. We propose a novel Ethereum-based system that empowers patients with secure control over their medical data. Our approach addresses key challenges in healthcare blockchain implementation, including scalability, privacy, and r…▽ More",Oliver S.; Dijana,,,2024-12-03,,
