Title,Abstract,Author,Classification_Codes,Publication_Date,Affiliations_ID,References,Keywords,File_ID
Approaches to suicide prevention: Ideas and models presented by Japanese and international early career psychiatrists,,Saito S.; Horinouchi T.; Nakagami Y.; Ii T.; Sarkar S.; McSweeney A.; Yoshida L.; Aniwattanapong D.; Xin L.M.; Segrec N.; Varbanov S.V.; Shams S.F.; Suzuki K.; Mariano M.P.V.; Tomlin S.C.; Kuno K.; Freedman R.; Riba M.B.; Akiyama T.; Kawanishi C.,,2018-09-01,60028190; 60119317; 60171692; 60009790; 60022339; 60004321; 60025160; 60025252; 110180855; 60028884; 117878401; 60005828; 112977440; 60028421; 121314932; 60014173; 60071482; 60014966; 60268533; 60025778; 60165287,Development of a 2-h suicide prevention program for medical staff including nurses and medical residents: A two-center pilot trial; Risk factors for anxiety in major depressive disorder patients,,201800709
Vertebral body metastasis,,Ghia A.J.; Prayongra A.,,2018-07-27,60022183; 60015023,"Pattern and distribution of bone metastases in common malignant tumors; Metastatic spinal tumor; Surgical strategy for spinal metastases; Scoring system for the preoperative evaluation of metastatic spine tumor prognosis; A revised scoring system for preoperative evaluation of metastatic spine tumor prognosis; Predictive value of Tokuhashi scoring Systems in spinal metastases, focusing on various primary tumor groups evaluation of 448 patients in the Aarhus spinal metastases database; Metastatic disease of the spine; The NOMS framework:approach to the treatment of spinal metastatic tumors; Reliability analysis of the epidural spinal cord compression scale; Radiosurgical decompression of metastatic epidural compression; A novel classification system for spinal instability in neoplastic disease: an evidence-based approach and expert consensus from the Spine Oncology Study Group; Spinal instability neoplastic score: an analysis of reliability and validity from the spine oncology study group; Palliative radiotherapy for bone metastases: an ASTRO evidence-based guideline; Cancer Care Ontario Practice Guidelines Initiative Supportive Care G. Meta-analysis of dosefractionation radiotherapy trials for the palliation of painful bone metastases; Evaluation of five radiation schedules and prognostic factors for metastatic spinal cord compression; Randomized trial of short- versus long-course radiotherapy for palliation of painful bone metastases; Palliation of metastatic bone pain: single fraction versus multifraction radiotherapy-a systematic review of randomised trials; The tumor radiobiology of SRS and SBRT: are more than the 5 Rs involved?; Radiobiological basis of SBRT and SRS; Radiobiology of stereotactic body radiation therapy/stereotactic radiosurgery and the linear-quadratic model; The linear-quadratic model is inappropriate to model high dose per fraction effects in radiosurgery; Beyond the conventional role of external-beam radiation therapy for skeletal metastases: new technologies and stereotactic directions; Spine radiosurgery for spinal cord compression: the radiation oncologist's perspective; Stereotactic body radiosurgery for spinal metastases: a critical review; Stereotactic body radiotherapy (SBRT) for spinal metastases: who will benefit the most from SBRT?; Stereotactic body radiation for the spine: a review; Spine radiosurgery for spinal metastases: indications, technique and outcome; Stereotactic body radiosurgery for spinal metastatic disease: an evidence-based review; RTOG 0631 phase 2/3 study of image guided stereotactic radiosurgery for localized (1-3) spine metastases: phase 2 results; Recursive partitioning analysis index is predictive for overall survival in patients undergoing spine stereotactic body radiation therapy for spinal metastases; Creation of a prognostic index for spine metastasis to stratify survival in patients treated with spinal stereotactic radiosurgery: secondary analysis of mature prospective trials; Pain control by image-guided radiosurgery for solitary spinal metastasis; Stereotactic radiosurgery for spinal metastases from renal cell carcinoma; High-dose, single-fraction image-guided intensity-modulated radiotherapy for metastatic spinal lesions; Phase I/II study of stereotactic body radiotherapy for spinal metastasis and its pattern of failure; Phase 1/2 trial of single-session stereotactic body radiotherapy for previously unirradiated spinal metastases; Safety and efficacy of stereotactic body radiotherapy as primary treatment for vertebral metastases: a multi-institutional analysis; Outcomes for spine stereotactic body radiation therapy and an analysis of predictors of local recurrence; Clinical results of retreatment of vertebral bone metastases by stereotactic conformal radiotherapy and intensity-modulated radiotherapy; Multifractionated image-guided and stereotactic intensity-modulated radiotherapy of paraspinal tumors: a preliminary report; Stereotactic body radiation therapy for management of spinal metastases in patients without spinal cord compression: a phase 1-2 trial; Radiosurgery for the treatment of spinal melanoma metastases; Radiosurgery for spinal metastases: clinical experience in 500 cases from a single institution; Image-guided robotic radiosurgery for spinal metastases; Combination kyphoplasty and spinal radiosurgery: a new treatment paradigm for pathological fractures; Postoperative radiosurgery for malignant spinal tumors; Local disease control after decompressive surgery and adjuvant high-dose singlefraction radiosurgery for spine metastases; Local disease control for spinal metastases following ""separation surgery"" and adjuvant hypofractionated or high-dose single-fraction stereotactic radiosurgery:outcome analysis in 186 patients; Stereotactic radiosurgery for primary and metastatic sarcomas involving the spine; Spinal metastases:from conventional fractionated radiotherapy to single- dose SBRT; Re-irradiation of brain metastases and metastatic spinal cord compression: clinical practice suggestions; Update of human spinal cord reirradiation tolerance based on additional data from 38 patients; Preliminary clinical experience with linear accelerator-based spinal stereotactic radiosurgery; Surgical results for spinal metastases; Radiotherapy and radiosurgery for metastatic spine disease: what are the options, indications, and outcomes?; Timing of stereotactic radiosurgery and surgery and wound healing in patients with spinal tumors: a systematic review and expert opinions; Timing of surgery and radiotherapy in the management of metastatic spine disease: a systematic review; Impact of immobilization on intrafraction motion for spine stereotactic body radiotherapy using cone beam computed tomography; Patterns of failure after single-dose radiosurgery for spinal metastasis; Stereotactic body radiotherapy for spinal metastases: current status, with a focus on its application in the postoperative patient; International Spine Radiosurgery Consortium consensus guidelines for target volume definition in spinal stereotactic radiosurgery; Radiation dosevolume effects in the spinal cord; Stereotactic body radiation therapy: the report of AAPM Task Group 101; Spinal cord tolerance for stereotactic body radiotherapy; Probabilities of radiation myelopathy specific to stereotactic body radiation therapy to guide safe practice; Stereotactic body radiation therapy for spinal metastases; Reirradiation human spinal cord tolerance for stereotactic body radiotherapy; Generalizable class solutions for treatment planning of spinal stereotactic body radiation therapy; Incidence and predictive factors of pain flare after spine stereotactic body radiation therapy:secondary analysis of phase 1/2 trials; Pain flare is a common adverse event in steroid-naive patients after spine stereotactic body radiation therapy: a prospective clinical trial; Vertebral compression fracture after stereotactic body radiotherapy for spinal metastases; Risk of fracture after single fraction image-guided intensity-modulated radiation therapy to spinal metastases; Vertebral compression fracture (VCF) after spine stereotactic body radiation therapy (SBRT): analysis of predictive factors; Vertebral compression fracture risk after stereotactic body radiotherapy for spinal metastases; Spine stereotactic body radiotherapy for renal cell cancer spinal metastases: analysis of outcomes and risk of vertebral compression fracture; Palliative radiation therapy for bone metastases: update of an ASTRO evidence-based guideline",,201800963
Gas Gangrene of Malignant Mixed Mullerian Tumor of Ovary Caused by Clostridium perfringens,,Musikatavorn K.; Saoraya J.; Tarapan T.,,2018-06-01,,Significance of clostridia in the female reproductive tract; Emphysematous infections of the abdomen and pelvis: a pictorial review; Ruptured tuboovarian abscess and septic shock with Clostridium perfringens in a postmenopausal woman: a case report; Clostridial abdominal gas gangrene masquerading as a bowel perforation in an advanced-stage ovarian cancer patient; Fatal clostridial sepsis after spontaneous abortion; Fulminant sepsis after invasive prenatal diagnosis; Uterine clostridial myonecrosis after thermal balloon endometrial ablation; Clostridium perfringens infection complicating emotherapy for choriocarcinoma; Spontaneous clostridia gas gangrene of uterus associated with endometrial malignancy; Spontaneous uterine perforation due to clostridial gas gangrene associated with endometrial carcinoma; Uterine perforation with intra-abdominal Clostridium perfringens gas gangrene: a rare and fatal infection; Practice guidelines for the diagnosis and management of skin and soft tissue infections: 2014 update by the Infectious Diseases Society of America,,201801287
First person – Varisa Pongrakhananon,,Pongrakhananon V.,,2018-11-01,,,,201800355
The social capital of being Chinese in Thai politics,,Wongsurawat W.,,2018-07-10,,'From Yaowaraj to Phlabphlachai: The Thai State and Ethnic Chinese in Thailand During the Cold War.'; 'Beyond Jews of the Orient: A New Interpretation of the Problematic Relationship Between the Thai State and Its Ethnic Chinese Community.',,201800990
Tele-health for patients with deep brain stimulation: The experience of the Ontario Telemedicine Network,,Jitkritsadakul O.; Rajalingam R.; Toenjes C.; Munhoz R.P.; Fasano A.,,2018-03-01,60006377; 60022183; 60002401; 60014468; 60016849,"The past, present, and future of telemedicine for Parkinson's disease; Continuing education through Telemedicine for Ontario; Management of infectious diseases in remote northwestern Ontario with telemedicine videoconference consultations; Telemedicine and doctor-patient communication: an analytical survey of the literature; Systematic review of studies of patient satisfaction with telemedicine",,201801817
Ophthalmology snapshot,,Tuntivanich N.,,2018-06-01,,Adnexal surgery in dogs and cats,,201801219
"Radiation dose, risks, and protection in CBCT",,Pauwels R.; Scarfe W.C.,,2018-01-04,60028190; 60022286; 60121202,"Dose reduction in pediatric computed tomography with automated exposure control; Using GafChromic film to estimate the effective dose from dental cone beam CT and panoramic radiography; The use of cone-beam tomography in dentistry. An advisory statement from the American Dental Association Council on Scientific Affairs; Comparative study of jaws with multislice computed tomography and cone-beam computed tomography; Dental x-rays and risk of meningioma; Cross-sectional imaging in dentomaxillofacial diagnostics: dose comparison of dental MSCT and NewTom 9000 DVT; Effective doses from cone beam CT investigation of the jaws; Dose measurements for dental cone-beam CT: a comparison with MSCT and panoramic imaging; Radiation dose saving through the use of cone-beam CT in hearing-impaired patients; Cone beam computed tomography for dental and maxillofacial imaging: technique improvement and low-dose protocols; Radiation dose reduction in direct digital panoramic radiography; Dosimetry of digital panoramic imaging. Part II: occupational exposure; Dosimetry of digital panoramic imaging. Part I: patient exposure; Effect of leaded glasses and thyroid shielding on cone beam CT radiation dose in an adult female phantom; Dosimetry of a cone-beam computed tomography machine compared with a digital x-ray machine in orthodontic imaging; Effectiveness of thyroid gland shielding in dental CBCT using a paediatric anthropomorphic phantom; Dosimetry of the cone beam computed tomography Veraviewepocs 3D compared with the 3D Accuitomo in different fields of view; More than 5 full-mouth radiographic series increases intracranial meningioma risk; Recommendations of the ICRP. ICRP Publication 26; 1990 Recommendations of the International Commission on Radiological Protection:ICRP publication 60; The 2007 Recommendations of the International Commission on Radiological Protection. ICRP publication 103; ICRP statement on tissue reactions and early and late effects of radiation in normal tissues and organs-threshold doses for tissue reactions in a radiation protection context. ICRP publication 118; Radiation dose and image quality assessment in computed tomography. ICRU Report 87; A comparative study of the effective radiation doses from cone beam computed tomography and plain radiography for sialography; Comparison of effective dose for imaging of mandible between multi-detector CT and cone-beam CT; Evaluation of the effective dose of cone beam CT and multislice CT for temporomandibular joint examinations at optimized exposure levels; Conversion coefficients for the estimation of effective dose in cone-beam CT; Effective dose assessment in the maxillofacial region using thermoluminescent (TLD) and metal oxide semiconductor field-effect transistor (MOSFET) dosemeters:a comparative study; Cone-beam computed tomography to detect erosions of the temporomandibular joint:effect of field of view and voxel size on diagnostic efficacy and effective dose; Calculating effective dose on a cone beam computed tomography device: 3D Accuitomo and 3D Accuitomo FPD; Dental X-rays and the risk of intracranial meningioma:a population-based case-control study; Radiation dose vs. image quality for low-dose CT protocols of the head for maxillofacial surgery and oral implant planning; Comparison between effective radiation dose of CBCT and MSCT scanners for dentomaxillofacial applications; A manufacturer's role in reducing the dose of cone beam computed tomography examinations:effect of beam filtration; Comparative dosimetry of dental CBCT devices and 64-slice CT for oral and maxillofacial radiology; Assessment of phantom dosimetry and image quality of i-CAT FLX cone-beam computed tomography; Dosimetry of 3 CBCT devices for oral and maxillofacial radiology: CB Mercuray, NewTom 3G and i-CAT; Patient risk related to common dental radiographic examinations:the impact of 2007 International Commission on Radiological Protection recommendations regarding dose calculation; Effective dose of dental CBCT- a meta-analysis of published data and additional data for nine CBCT units; Small field of view cone beam CT temporomandibular joint imaging dosimetry; Effective dose: how should it be applied to medical exposures?; Dosimetry of a cone beam CT device for oral and maxillofacial radiology using Monte Carlo techniques and ICRP adult reference computational phantoms; Enlarged longitudinal dose profiles in cone-beam CT and the need for modified dosimetry; Absorbed and effective doses from cone beam volumetric imaging for implant planning; Comparison of absorbed and effective dose from two dental cone beam computed tomography scanners; Influence of CBCT exposure conditions on radiation dose; Effective dose range for dental cone beam computed tomography scanners; Dose distribution for dental cone beam CT and its implication for defining a dose index; Estimating cancer risk from dental cone-beam CT exposures based on skin dosimetry; A pragmatic approach to determine the optimal kVp in cone beam CT: balancing contrast-to-noise ratio and radiation dose; Effective radiation dose and eye lens dose in dental cone beam CT: effect of field of view and angle of rotation; Determination of size-specific exposure settings in dental cone-beam CT; Effective radiation dose of ProMax 3D cone-beam computerized tomography scanner with different dental protocols; Dose reduction of cone beam CT scanning for the entire oral and maxillofacial regions with thyroid collars; Thyroid shields for radiation dose reduction during cone beam computed tomography scanning for different oral and maxillofacial regions; Radiochromic films for dental CT dosimetry: a feasibility study; Samarium filters for dental radiography; Effective dose from cone beam CT examinations in dentistry; Effective dose span of ten different cone beam CT devices; Assessment of the effective doses from two dental cone beam CT devices; Comparative dosimetry of dental cone beam computed tomography, panoramic radiography, and multislice computed tomography; Cone-beam computed tomography for routine orthodontic treatment planning: a radiation dose evaluation; Dosimetry and image quality of four dental cone beam computed tomography scanners compared with multislice computed tomography scanners; Dental x-rays and risk of meningioma; the jury is still out; Estimation of paediatric organ and effective doses from dental cone beam CT using anthropomorphic phantoms; Dose reduction in maxillofacial imaging using low dose Cone beam CT; Quality control and patient dosimetry in dental cone beam CT; Dental x-rays and risk of meningioma; Technical assessment of a cone-beam CT scanner for otolaryngology imaging: image quality, dose, and technique protocols; Bowtie filtration for dedicated cone beam CT of the head and neck: a simulation study",,201802087
"Probing into Thailand's basement: New insights from U–Pb geochronology, Sr, Sm–Nd, Pb and Lu–Hf isotopic systems from granitoids",,Dew R.E.C.; Collins A.S.; Glorie S.; Morley C.K.; Blades M.L.; Nachtergaele S.; King R.; Foden J.; De Grave J.; Kanjanapayont P.; Evans N.J.; Alessio B.L.; Charusiri P.,,2018-11-01,60159954; 60028190; 60031226; 60000881; 60009512; 60033316,"Geochronological cross section through northern Thailand; Palaeomagnetic re-investigation of Early Permian rift basalts from the Baoshan Block, SW China: constraints on the site-of-origin of the Gondwana-derived eastern Cimmerian terranes; Structure of the Sibumasu–Indochina collision, central Thailand: A section through the Khao Khwang Fold and thrust belt; Geochronological and geochemical study of mafic and intermediate dykes from the Khao Khwang Fold-Thrust Belt: Implications for petrogenesis and tectonic evolution; Use and abuse of crust-formation ages; Mesozoic-Cenozoic rift-drift sequence of Asian fragments from Gondwanaland; The origin, movement and assembly of the pre-Tertiary tectonic units of Thailand; Behavior of isotopic systematics during deformation and metamorphism: a Hf, Nd and Sr isotopic study of mylonitized granite; Nan River suture zone, northern Thailand; Toward a late Palaeozoic–early Mesozoic tectonic model for Thailand; Age, tectonic setting and regional implications of the Chiang Khong volcanic suite, northern Thailand; Geochronology and geochemistry of granite magmatism in Thailand in relation to a plate tectonic model; Age and hafnium isotopic evolution of the Didesa and Kemashi Domains, western Ethiopia; Subsurface Carboniferous - Cretaceous geology of NE Thailand; Paleogeographic history of western Thailand and adjacent parts of Southeast Asia - A plate tectonics interpretation. Paleogeographic History of Western Thailand and Adjacent Parts of Southeast Asia - A Plate Tectonics Interpretation; The configuration of Greater Gondwana—Evidence from LA ICPMS, U–Pb geochronology of detrital zircons from the Palaeozoic and Mesozoic of Southeast Asia and China; Provenance and tectonic evolution of Lower Paleozoic–Upper Mesozoic strata from Sibumasu terrane; Stratigraphy, Sedimentology and Tectonic Implications of the Lampang Group, Central North Thailand; I- and S-type granites in the Lachlan Fold Belt; Two contrasting granite types: 25 years later; Granite belts in Thailand: evidence from the 40Ar/39Ar geochronological and geological syntheses; Granitic Rocks; Thailand, The Granites of the South-East Asian Tin Belt; The dynamic evolution of the Palaeozoic geography of eastern Asia; Structure and age of the northern Leeuwin Complex, Western Australia: Constraints from field mapping and U–Pb isotopic analysis; Experimental modeling of rifting at craton margins; Advances in research of bulk-rock Nd and zircon Hf isotopic mappings: Case study of Sanjiang Tethyan Orogen; The South China block-Indochina collision: Where, when, and how; Further Isotopic Evidence for the Existence of Two Distinct Terranes in the Southern Pinjarra Orogen; Triassic granites in South China: A geochemical perspective on their characteristics, petrogenesis, and tectonic significance; The closure of Palaeo-Tethys in Eastern Myanmar and Northern Thailand: New insights from zircon U-Pb and Hf isotope data; Geochemistry and Origin of Neoproterozoic Granitoids of Meghalaya, Northeast India: Implications for Linkage with Amalgamation of Gondwana Supercontinent; A Sm-Nd isotopic study of atmospheric dusts and particulates from major river systems; Zircon chemistry and magma mixing, SE China: insitu analysis of Hf isotopes, Tonglu and Pingtan igneous complexes; U–Pb zircon geochronology and geochemistry from NE Vietnam: A ‘tectonically disputed’ territory between the Indochina and South China blocks; Hf–Nd isotope and trace element constraints on subduction inputs at island arcs: Limitations of Hf anomalies as sediment input indicators; Age and evolution of the basement in Thailand; Petrography and geochemistry of clastic rocks within the Inthanon zone, northern Thailand: Implications for Paleo-Tethys subduction and convergence; U-Pb ages of detrital zircons within the Inthanon Zone of the Paleo-Tethyan subduction zone, northern Thailand: New constraints on accretionary age and arc activity; Sandstone provenance and U–Pb ages of detrital zircons from Permian–Triassic forearc sediments within the Sukhothai Arc, northern Thailand: Record of volcanic-arc evolution in response to Paleo-Tethys subduction; A large-scale isotope anomaly in the Southern Hemisphere mantle; Missing ophiolitic rocks along the Mae Yuam Fault as the Gondwana–Tethys divide in north-west Thailand; Permo-Triassic intermediate–felsic magmatism of the Truong Son belt, eastern margin of Indochina; Petrology and SrNd isotopic systems of the basalts and rhyolites, Loei, Thailand; Geological Map of Thailand; Scale 1 : 1 000 000, with explanation; Geochronological, geochemical and Sr-Nd-Hf isotopic constraints on the petrogenesis of Late Cretaceous A-type granites from the Sibumasu Block, Southern Myanmar, SE Asia; Adakites in the Truong Son and Loei fold belts, Thailand and Laos: Genesis and implications for geodynamics and metallogeny; Rb–Sr, Sm–Nd, and U–Pb geochronology of the rocks within the Khlong Marui shear zone; U-Pb zircon and CHIME monazite dating of granitoids and high-grade metamorphic rocks from the Eastern and Peninsular Thailand — A new report of Early Paleozoic granite; Episodic growth of the Gondwana supercontinent from hafnium and oxygen isotopes in zircon; Magnetic susceptibility and geochemistry of granitic rocks in Cambodia; Geochemical and Sr–Nd isotopic constraints from the Kontum massif, central Vietnam on the crustal evolution of the Indochina block; The Early Triassic Indosinian orogeny in Vietnam (Truong Son Belt and Kontum Massif); implications for the geodynamic evolution of Indochina; Paleomagnetic analysis of eastern Tibet: implications for the collisional and amalgamation history of the Three Rivers Region; Genesis of granitoid batholiths of Peninsular Malaysia and implications for models of crustal evolution: Evidence from a NdSr isotopic and UPb zircon study; First evidence of the Cambrian basement in Upper Peninsula of Thailand and its implication for crustal and tectonic evolution of the Sibumasu terrane; Permo-Triassic granitoids in the northern part of the Truong Son belt, NW Vietnam: Geochronology, geochemistry and tectonic implications; On the Treatment of Concordant Uranium-Lead Ages; Syn-convergence extension in the southern Lhasa terrane: Evidence from late Cretaceous adakitic granodiorite and coeval gabbroic-dioritic dykes; The Tak Batholith, Thailand: the evolution of contrasting granite types and implications for tectonic setting; Sm-Nd isotopic constraints on the evolution of Precambrian crust in the Australian continent; ’Tectonic evolution of SE Asia’ ‘Ore Deposits of SE Asia’; Stratigraphy, palaeontology and palaeogeography of the Carboniferous of Southeast Asia; Gondwana dispersion and Asian accretion: Tectonic and palaeogeographic evolution of eastern Tethys; Late Permian-Mesozoic events and the Mergui Group Nappe in Myanmar and Thailand; Development of the Khao Khwang fold and thrust belt; implications for the geodynamic setting of Thailand and Cambodia during the Indosinian Orogeny; Bauxite to eclogite: Evidence for late Permian supracontinental subduction at the Red River shear zone, northern Vietnam; Petrogenesis of Malaysian granitoids in the Southeast Asian tin belt: Part 1. Geochemical and Sr-Nd isotopic characteristics; Petrogenesis of Malaysian granitoids in the Southeast Asian tin belt: Part 2. U-Pb zircon geochronology and tectonic model; Hafnium isotope variations in oceanic basalts; Gondwana-Derived Terranes Structural Mapping Using PALSAR Remote Sensing Data; Geochronological and geochemical constraints on the mafic rocks along the Luang Prabang zone: Carboniferous back-arc setting in northwest Laos; Late Triassic post-collisional granites related to Paleotethyan evolution in SE Thailand: Geochronological and geochemical constraints; Lower Palaeozoic; Strontium isotopes — A persistent tracer for the recycling of Gondwana crust in the Variscan orogen; Geochemistry and geochronology of the Chatree epithermal gold-silver deposit: Implications for the tectonic setting of the Loei Fold Belt, central Thailand; Tectonic evolution of the Sibumasu-Indochina terrane collision zone in Thailand and Malaysia: Constraints from new U-Pb zircon chronology of SE Asian tin granitoids; Granitic magmatism, basement ages, and provenance indicators in the Malay Peninsula: Insights from detrital zircon U–Pb and Hf-isotope data; Myanmar and Asia united, Australia left behind long ago; Zircon U-Pb ages and geochemistry of granitoids in the Truong Son terrane, Vietnam: Tectonic and metallogenic implications; Tectonic implications of the Nan Suture Zone and its relationship to the Sukhothai Fold Belt, Northern Thailand; Parallel Tethyan sutures in mainland Southeast Asia: New insights for Palaeo-Tethys closure and implications for the Indosinian orogeny; The Chanthaburi terrane of southeastern Thailand: Stratigraphic confirmation as a disrupted segment of the Sukhothai Arc; Approximation of terrestrial lead isotope evolution by a two-stage model; Evaluating the precision of Pb isotope measurement by mass spectrometry; Carboniferous and Permian; The Nan-Uttaradit-Sa Kaeo Suture as a main Paleo-Tethyan suture in Thailand: Is it real; Linking the Indochina block and Gondwana during the Early Paleozoic: Evidence from U–Pb ages and Hf isotopes of detrital zircons; Relationships between Lu–Hf and Sm–Nd isotopic systems in the global sedimentary system; Ocean Plate Stratigraphy in East and Southeast Asia; Late Triassic zircon U-Pb ages and Sr-Nd-Hf isotopes of Darongshan granites in southeastern Guangxi and their geological implications; Paleotethyan evolution of the Indochina Block as deduced from granites in northern Laos; Geochronological, elemental and Sr-Nd-Hf-O isotopic constraints on the petrogenesis of the Triassic post-collisional granitic rocks in NW Thailand and its Paleotethyan implications; Low-δ18O Rhyolites From the Malani Igneous Suite: A Positive Test for South China and NW India Linkage in Rodinia; Regional facies variations in Permian rocks of the Phetchabun fold and thrust belt, Thailand; Evolution of the Western Margin of Australia during the Rodinian and Gondwanan Supercontinent Cycles; Late-stage alteration and tin–tungsten mineralization in the Khuntan Batholith, northern Thailand; Tectonics and metallogeny of mainland Southeast Asia — A review and contribution",,201800376
A ‘Shocking’ Cause of Facial Edema,,Tiu A.C.; Lapumnuaypol K.; Chiasakul T.,,2018-10-01,60027795; 60028190,Internal jugular vein complete thrombosis after dual chamber pacemaker implant; Internal jugular vein thrombosis secondary to a permanent cardiac pacemaker: an unusual case of lateral neck swelling; Venous thrombosis and stenosis after implantation of pacemakers and defibrillators,Implantable cardioverter- defibrillator; Internal jugular vein thrombosis; Kidney transplant,201800545
Control of enzymatic browning in fresh-cut mangosteen using alginate coating,,Klaykruayat S.; Mahayothee B.; Duangmal K.,,2018-08-30,60028190; 60018809,Image processing with ImageJ; A comparative study of polyphenoloxidases from taro (Colocasia esculenta) and potato (Solanum tuberosum var. Romano); Colour evaluation of freeze-dried roselle extract as a natural food colorant in a model system of a drink; Edible coatings containing natural antimicrobials for processed foods; Physiological and quality changes of fresh-cut pineapple treated with antibrowning agents; Barrier properties and surface characteristics of edible Bilayer films; Appearance and texture changes of modified atmosphere-packed fresh-cut mangosteen after preservative dips; Fresh-cut fruits; Prevention of browning of banana slices using natural products and their derivatives; Enzymatic browning reactions in apple and apple products; Edible coatings and films based on polysaccharides; Alginate coatings for preservation of minimally processed 'Gala' apples; Using polysaccharide-based edible coatings to enhance quality and antioxidant properties of fresh-cut melon; Color development and quality of mangosteen (Garcinia mangostana L.) fruit during ripening and after harvest; Mangosteen; Physical and mechanical properties of water resistant sodium alginate films; Alginate and gellan-based edible coatings as support of antibrowning agents applied on fresh-cut Fuji apple; Enzymatic browning in fruits: Its biochemistry and control; Calcium alginate films: Thermal properties and permeability to sorbate and ascorbate; Mechanical and water vapour barrier properties of edible gellan films,Alginate coating; Browning; Color assessment; Edible coating; Fresh-cut; Mangosteen,201800777
What is your diagnosis?,,Choisunirachon N.,,2018-03-01,,Computed tomographic angiography under sedation in he diagnosis of suspected canine pancreatitis: A pilot study; An animal model for studying endoscopic ultrasound changes of early chronic pancreatitis with histologic correlation: a pilot study; Veterinary diagnostic imaging; Diagnosis of pancreatitis in dogs and cats,,201801804
A Woman With Stridor and Respiratory Failure,,Saoraya J.; Musikatavorn K.,,2018-06-01,60028190; 60022183,Achalasia; Acute upper-airway obstruction in a patient with achalasia; Achalasia: an unusual cause of airway obstruction; Acute upper airway obstruction due to oesophageal achalasia,,201801269
Mortality following diagnosis of tuberculosis in HIV-infected patients in Asia,,Jiamsakul A.; Yunihastuti E.; Van Nguyen K.; Merati T.P.; Do C.D.; Ditangco R.; Ponnampalavanar S.; Zhang F.; Kiertiburanakul S.; Lee M.P.; Avihingsanon A.; Ng O.T.; Sim B.L.; Wong W.; Ross J.; Law M.,,2018-09-01,60028190; 60073434; 108185156; 60069378; 60199578; 60069391; 60071446; 60071385; 60029157; 60026655; 60014234; 60090633; 60013314; 60002481; 112660121,"Prognostic significance of the interval between the initiation of antiretroviral therapy and the initiation of anti-tuberculosis treatment in HIV/tuberculosis-coinfected patients: results from the TREAT Asia HIV Observational Database; Socio-economic statuses and risk of tuberculosis – a case-control study of HIV-infected patients in Asia; Risk and prognostic significance of tuberculosis in patients from the TREAT Asia HIV Observational Database; Mortality in patients with HIV-1 and tuberculosis co-infection in Rio de Janeiro, Brazil – associated factors and causes of death; The role of social determinants on tuberculosis/HIV co-infection mortality in southwest Ethiopia: a retrospective cohort study",,201800722
Extensively drug-resistant community-acquired Acinetobacter baumannii sequence type 2 in a dog with urinary tract infection in Thailand,,Chanchaithong P.; Prapasarakul N.; Sirisopit Mehl N.; Suanpairintr N.; Teankum K.; Collaud A.; Endimiani A.; Perreten V.,,2018-06-01,60028190; 60020486,Worldwide dissemination of the blaOXA-23carbapenemase gene of Acinetobacter baumannii; First report of OXA-23-mediated carbapenem resistance in sequence type 2 multidrug-resistant Acinetobacter baumannii associated with urinary tract infection in a cat; OXA-23 and ISAba1–OXA-66 class D β-lactamases in Acinetobacter baumannii isolates from companion animals; Genetic and functional variability of AmpC-type β-lactamases from Acinetobacter baumannii; First report of carbapenemase-producing Acinetobacter baumannii carriage pets from the community in France,,201801293
What is CBCT and how does it work?,,Pauwels R.,,2018-01-04,60028190; 60121202,Dose reduction in pediatric computed tomography with automated exposure control; Metal artefact reduction with cone beam CT:an in vitro study; Iterative reconstruction methods in X-ray CT; Influence of the artefact reduction algorithm of Picasso Trio CBCT system on the diagnosis of vertical root fractures in teeth with metal posts; Computation of bremsstrahlung X-ray spectra and comparison with spectra measured with a Ge(Li) detector; Practical cone-beam algorithm; Assessment of buccal marginal alveolar peri-implant and periodontal defects using a cone beam CT system with and without the application of metal artefact reduction mode; Dual-energy CT revisited with multidetector CT: review of principles and clinical applications; Iterative reconstruction in head CT: image quality of routine and low-dose protocols in comparison with standard filtered back-projection; Radiation dose vs. image quality for low-dose CT protocols of the head for maxillofacial surgery and oral implant planning; Comparison between effective radiation dose of CBCT and MSCT scanners for dentomaxillofacial applications; Prospects and challenges of rendering tissue density in Hounsfield units for cone beam computed tomography; Motion artefacts in cone beam CT: an in vitro study about the effects on the images; Cone beam CT: a current overview of devices; Quantification of metal artifacts on cone beam computed tomography images; A pragmatic approach to determine the optimal kVp in cone beam CT: balancing contrast-to-noise ratio and radiation dose; Technical aspects of dental CBCT: state of the art; Reduction of scatter-induced image noise in cone beam computed tomography: effect of field of view size and position; Determination of sizespecific exposure settings in dental cone-beam CT; Region-of-interest tomography for grating-based X-ray differential phase-contrast imaging; Assessment of metal artefact reduction around dental titanium implants in cone beam CT; Flat-panel detectors: how much better are they?; Statistical inversion for medical x-ray tomography with few radiographs:I. General theory; Cone beam CT image artefacts related to head motion simulated by a robot skull: visual characteristics and impact on image quality,,201802086
